GluteyLegionED,Glutey,2019/07/29, 15:02:13,https://www.pathofexile.com/account/view-profile/Glutey/characters
,Foe Grip,Two-Stone Ring,Ring,https://web.poecdn.com/image/Art/2DItems/Rings/TopazRuby.png?scale=1&w=1&h=1&v=0bd3c7197b952981eb21cb0dc278c04d,56053042019901cf099fa4fd8cdacf2617602020c4d7c70c100e804f70a9855b
,Demon Twirl,Steel Ring,Ring2,https://web.poecdn.com/image/Art/2DItems/Rings/AdamantineRing.png?scale=1&w=1&h=1&v=5abffedbb47cfea917c733bf16d361ad,4d398fb8c9bad28a7a333e0b58011739a3100405591298b249668e83eda7fcda
,Foe Paw,Spiked Gloves,Gloves,https://web.poecdn.com/image/Art/2DItems/Armours/Gloves/SpikedGloves.png?scale=1&w=2&h=2&v=47f008b19b0bf2cf74eb5e92bf1a2e75,a6e74b7bcf8ef7a25797d2c5f9181a423650242123afa5ab33193e22baa29f08
,Hate Buckle,Stygian Vise,Belt,https://web.poecdn.com/image/Art/2DItems/Belts/AbyssBelt.png?scale=1&w=2&h=1&v=cd7c25de181e6a77812020eb6e867971,3ec232c65b3eed40c9fe08e6e10d9a80f9c1c42f3753f4f75b87444ac09ad751
,Soul Torc,Amber Amulet,Amulet,https://web.poecdn.com/image/Art/2DItems/Amulets/Amulet3.png?scale=1&w=1&h=1&v=ab799e48c3d205973c8cd93ab478d20c,5826a792d69e0bd3bddba775172ce1f262b2e1bd347f0b620860761f8f533250
,Dire Beak,Jewelled Foil,Weapon,https://web.poecdn.com/image/Art/2DItems/Weapons/OneHandWeapons/Rapiers/Rapier7.png?scale=1&w=1&h=4&v=d4a9ff1bbae62362d78bc8d5a4484446,9b87334935f428f1d41b6fcf2e582c1bcb103be5d75ad52e37cad6ae45b44f59
,Entropy Stinger,Jewelled Foil,Offhand,https://web.poecdn.com/image/Art/2DItems/Weapons/OneHandWeapons/Rapiers/Rapier7.png?scale=1&w=1&h=4&v=d4a9ff1bbae62362d78bc8d5a4484446,d8994a8aaca71225c6c8200577d1054abef78caa0ba58ceefad9e893ac656751
,Hypnotic Star,Ursine Pelt,Helm,https://web.poecdn.com/image/Art/2DItems/Armours/Helmets/HelmetDex7.png?scale=1&w=2&h=2&v=8d01ba9ab32a8d671bcc66c25c0e90ec,1dc85ba7f84f5c1195bc90d78bf787ee5c3044fd3f68a800e5ed5eb30ad8c397

PulveriseMeDaddyUwU,Eldorez,2019/07/29, 15:02:13,https://www.pathofexile.com/account/view-profile/Eldorez/characters
,Sol Edge,Jewelled Foil,Weapon,https://web.poecdn.com/image/Art/2DItems/Weapons/OneHandWeapons/Rapiers/Rapier7.png?scale=1&w=1&h=4&v=d4a9ff1bbae62362d78bc8d5a4484446,9a4d8d727d8ccee35216c62df4cb7eeedfeeeec41d178f23696d997a49e232b7
,Eagle Skewer,Dragonbone Rapier,Offhand2,https://web.poecdn.com/image/Art/2DItems/Weapons/OneHandWeapons/Rapiers/Rapier2.png?scale=1&w=1&h=4&v=ffa3d6cc78c766584fff267ff269a2bc,8a7512a87685917304df5c34852ec743ee2804a18483f13c6e04bae05f9cfe5f
,Vengeance Spiral,Ruby Ring,Ring2,https://web.poecdn.com/image/Art/2DItems/Rings/Ring7.png?scale=1&w=1&h=1&v=0d73ed3a0f503653328f2593bda615d3,d896c3a283a10e6517f147b8a9f166b33466464114b08d5a228cc4066e1864b9
,Hypnotic Palm,Spiked Gloves,Gloves,https://web.poecdn.com/image/Art/2DItems/Armours/Gloves/SpikedGloves.png?scale=1&w=2&h=2&v=47f008b19b0bf2cf74eb5e92bf1a2e75,8aa5d36f6faa96d1911d6a2c0433ec48913162891a67627b2d81201cd89a1944
,Loath Cowl,Eternal Burgonet,Helm,https://web.poecdn.com/image/Art/2DItems/Armours/Helmets/HelmetStr11.png?scale=1&w=2&h=2&v=342bd7655177cacda3928e191d7eb83c,751d5aa1f2976030a2f15cc76df3a3ba8479ba893f0185a44460132b3dd9efa2
,Dread Torc,Lapis Amulet,Amulet,https://web.poecdn.com/image/Art/2DItems/Amulets/Amulet5.png?scale=1&w=1&h=1&v=574b38016f547495a51268177882d5cc,f2158f28ca0716c990907f3b8d4625b161ba1323c3c776252ff19925949ee2e3
,,Legion Hammer,Weapon2,https://web.poecdn.com/image/Art/2DItems/Weapons/OneHandWeapons/OneHandMaces/OneHandMace5.png?scale=1&w=2&h=3&v=a5b432d101b0b584c9498f6716af3185,d28d519c07b2fdd065f6ad458cf47a621e433236f18a9ca170d1411abf68bd05
,Brood Shackle,Leather Belt,Belt,https://web.poecdn.com/image/Art/2DItems/Belts/Belt3.png?scale=1&w=2&h=1&v=a559821037f54c94dae053b90bcea363,22acb5ea7d0438353efe96fb6a505c48128bf51e588388b2c3b6cce5c71661ec

ZeeYouSpinMeRound,macarra,2019/07/29, 15:02:13,https://www.pathofexile.com/account/view-profile/macarra/characters
,Tempest Claw,Spiked Gloves,Gloves,https://web.poecdn.com/image/Art/2DItems/Armours/Gloves/SpikedGloves.png?scale=1&w=2&h=2&v=47f008b19b0bf2cf74eb5e92bf1a2e75,2031585f6d2b91bbe6a2b9b5c89b314736e0c38a284eb085398689854d03c50c
,Tempest League,Titan Greaves,Boots,https://web.poecdn.com/image/Art/2DItems/Armours/Boots/BootsStr4.png?scale=1&w=2&h=2&v=e26e440ce9b34d249004f0c063d3fe12,120591e7ef8b10bc021f59eb313ef115aeeef43c5895aad3c2494d09086a4822
,Carrion Turn,Steel Ring,Ring,https://web.poecdn.com/image/Art/2DItems/Rings/AdamantineRing.png?scale=1&w=1&h=1&v=5abffedbb47cfea917c733bf16d361ad,1d2f243a40d3b304cae3389617847f5f841e0a7845c0f202d9836b4340b57a77
,Glyph Turn,Steel Ring,Ring2,https://web.poecdn.com/image/Art/2DItems/Rings/AdamantineRing.png?scale=1&w=1&h=1&v=5abffedbb47cfea917c733bf16d361ad,71e36625683004ad7a7971f55b4377af61e7e0f12574d1323599c7b5778aaa66
,Blight Sanctuary,Astral Plate,BodyArmour,https://web.poecdn.com/image/Art/2DItems/Armours/BodyArmours/BodyStr1C.png?scale=1&w=2&h=3&v=890da62b76971297e9eacccd44123e99,46775bef96b06289ca61954e66e96a8e2f273568ae5c708c3b5d528adfa4db1c
,Kraken Peak,Ursine Pelt,Helm,https://web.poecdn.com/image/Art/2DItems/Armours/Helmets/HelmetDex7.png?scale=1&w=2&h=2&v=8d01ba9ab32a8d671bcc66c25c0e90ec,a6a6e3c783d34758195a3c1df722936e43b1d1d2e0abf29a41276e3dfa2e7200
,Entropy Scalpel,Jewelled Foil,Weapon,https://web.poecdn.com/image/Art/2DItems/Weapons/OneHandWeapons/Rapiers/Rapier7.png?scale=1&w=1&h=4&v=d4a9ff1bbae62362d78bc8d5a4484446,77c902145ec7d50f2671f3aeccf49771012030abf5c90b2df2fff875735e33e7
,Behemoth Rosary,Three Rat Talisman,Amulet,https://web.poecdn.com/image/Art/2DItems/Amulets/TalismanRed7.png?scale=1&w=1&h=1&v=8e1b15be8517b0f11f76383f0e0b5e78,894ac9301c5db4250152881c5c93bb61e398b0c096a7e5c36d79b628e619c446
,Invasion Bond,Stygian Vise,Belt,https://web.poecdn.com/image/Art/2DItems/Belts/AbyssBelt.png?scale=1&w=2&h=1&v=cd7c25de181e6a77812020eb6e867971,2aa4777983c03723d3c16307e790b43a100c2f5c24a1d282d1b37637ab8d779a

BalancedTrickster,romners,2019/07/29, 15:02:13,https://www.pathofexile.com/account/view-profile/romners/characters
,Morbid Rook,Steel Kite Shield,Offhand2,https://web.poecdn.com/image/Art/2DItems/Armours/Shields/ShieldStrInt4.png?scale=1&w=2&h=3&v=b91e8057b17582344ba5170985321cf8,f7cf70cd4a4b6e79e453fa38a2a27dc5e3aa68566149e6ce2f63a1b48273a9e1
,Gale Charm,Onyx Amulet,Amulet,https://web.poecdn.com/image/Art/2DItems/Amulets/Amulet7.png?scale=1&w=1&h=1&v=ecac1e6f4574572eeef0379d955811cd,10c3701b674bf69ce3cb2083b7986e726d549aa20df24af638181812f48982a8
,Rift Wrap,Sadist Garb,BodyArmour,https://web.poecdn.com/image/Art/2DItems/Armours/BodyArmours/BodyDexInt2C.png?scale=1&w=2&h=3&v=a0e589c9975ee5fe5bc4845f9c81a516,4bb36399a852772229322462c696c345f34961673544f9a000c450c0e45ab593
,,Haku's Crystal Wand,Weapon2,https://web.poecdn.com/image/Art/2DItems/Weapons/OneHandWeapons/Wands/Wand4.png?scale=1&w=1&h=3&v=d232fe49263de98034381a39ae61d675,3b7deb25a24a6f10d08efb32b74a25328bb347d2408cc35413a0e7118fc34e11
,Gloom Circle,Sapphire Ring,Ring,https://web.poecdn.com/image/Art/2DItems/Rings/Ring6.png?scale=1&w=1&h=1&v=23acb19022be4c89b3260db63dd1ca05,55dbe52f8185a7cc636a8b7d150c9d0b629146311f73bf20079f19fcbcf84e24
,Kraken Brow,Hubris Circlet,Helm,https://web.poecdn.com/image/Art/2DItems/Armours/Helmets/HelmetInt11.png?scale=1&w=2&h=2&v=e785517985bfa266e348519edfc14485,bf6b3fb933c931894d83a2e2069d3355b5fb2d9552e6c0830d7ad3ac03f84b1a
,Corruption Call,Titanium Spirit Shield,Offhand,https://web.poecdn.com/image/Art/2DItems/Armours/Shields/ShieldInt6.png?scale=1&w=2&h=2&v=c2c4daefcbef51dad8593cf61505a193,c1302192bec818146f8c2739a35ca8ce917451cccc245fcc73ef6e0f77f96940
,Phoenix Bane,Opal Wand,Weapon,https://web.poecdn.com/image/Art/2DItems/Weapons/OneHandWeapons/Wands/Wand4.png?scale=1&w=1&h=3&v=d232fe49263de98034381a39ae61d675,49d01463367d21289f7927081521d236900d9d9b262e9f5346dc2c2630547ab9
,Blight Tether,Crystal Belt,Belt,https://web.poecdn.com/image/Art/2DItems/Belts/CrystalBelt.png?scale=1&w=2&h=1&v=63156732e8bfa8dc4f84a814124d19d5,47e4f5d5e9d429e41a09a722eb266c1bed56cfedf61b6de2710669df18550e55
,Plague Slippers,Sorcerer Boots,Boots,https://web.poecdn.com/image/Art/2DItems/Armours/Boots/BootsInt4.png?scale=1&w=2&h=2&v=4808dffa0aa9745b57119af9319d0be3,306908e510e5f668832c62b53e0f837c9b5e918329ecb67b0464a7966a82e4b2

Fabian_,painkiller06,2019/07/29, 15:02:13,https://www.pathofexile.com/account/view-profile/painkiller06/characters
,Armageddon Track,Hydrascale Boots,Boots,https://web.poecdn.com/image/Art/2DItems/Armours/Boots/BootsStrDex2.png?scale=1&w=2&h=2&v=bdfb39d9a0b60c4ac542bedd8ff06e08,a0bbbc681a019fc1cad38d0aab6a972d2c63e4cb60f0e26874d29ea26cbfc4d0
,Gale Noose,Fangjaw Talisman,Amulet,https://web.poecdn.com/image/Art/2DItems/Amulets/TalismanBlack5.png?scale=1&w=1&h=1&v=e86ae653abf39dd0131eaeb8d591b638,8f60fb10e3b1473da4b68cb2bbea1f38ef712f3b4a8a2cf23f64e09223f1c5ac
,Spirit Hold,Spiked Gloves,Gloves,https://web.poecdn.com/image/Art/2DItems/Armours/Gloves/SpikedGloves.png?scale=1&w=2&h=2&v=47f008b19b0bf2cf74eb5e92bf1a2e75,89f03c1b50357885c1813a17b0a25affbb4de767c9f872551f5635c6e5068693
,Pandemonium Sever,Exquisite Blade,Weapon,https://web.poecdn.com/image/Art/2DItems/Weapons/TwoHandWeapons/TwoHandSwords/TwoHandSword8.png?scale=1&w=2&h=4&v=44d717ffd2668094350ae6065f0f3b62,75ca4497a747c1663c747c1177bd34e5909a0e5c9523b7df49758be77c1fd9d1

Trudorc_WickedBoi,Trudorc,2019/07/29, 15:02:13,https://www.pathofexile.com/account/view-profile/Trudorc/characters
,Honour Hold,Arcanist Gloves,Gloves,https://web.poecdn.com/image/Art/2DItems/Armours/Gloves/GlovesInt3.png?scale=1&w=2&h=2&v=af52d7a61dc25003bf727c86cd21b103,ce1690a4334c0a8f22cb39e39ee336722486d9b319fdd31b2b767924bbaf685d
,Fate Veil,Hubris Circlet,Helm,https://web.poecdn.com/image/Art/2DItems/Armours/Helmets/HelmetInt11.png?scale=1&w=2&h=2&v=e785517985bfa266e348519edfc14485,e5100775caae2e04048fd4eacdef35bb12a76af27c63395b2439c7a26db08f59
,Vengeance Finger,Topaz Ring,Ring2,https://web.poecdn.com/image/Art/2DItems/Rings/Ring5.png?scale=1&w=1&h=1&v=d645f9adfc012c52674c94d16b4292b2,6b0e964719302436bb642ef009dc460a47c9ace9f3d6b00558fd3dc7832f976a
,Pain Breeze,Short Bow,Weapon,https://web.poecdn.com/image/Art/2DItems/Weapons/TwoHandWeapons/Bows/Bow2.png?scale=1&w=2&h=3&v=c6b09fe119e14b0a1af35c694e705bd3,250c8c05215d9f81acfaf5c3026540f513407e891476c9aee150c3841a92d06b
,Glyph Eye,Two-Stone Ring,Ring,https://web.poecdn.com/image/Art/2DItems/Rings/TopazRuby.png?scale=1&w=1&h=1&v=0bd3c7197b952981eb21cb0dc278c04d,0b567db089104855a8e2d0a59274b178190c15304c9cb6f192e1090e68ec2e5e
,,Carved Wand of Craft,Weapon2,https://web.poecdn.com/image/Art/2DItems/Weapons/OneHandWeapons/Wands/Wand3.png?scale=1&w=1&h=3&v=ac9f7eee09f5a8f580151298712f2a9e,2b34d59e9476ba35a6af2f965dcc97addcb7105c71576d043b68fb15414fb07d
,,Driftwood Wand of Craft,Offhand2,https://web.poecdn.com/image/Art/2DItems/Weapons/OneHandWeapons/Wands/Wand1.png?scale=1&w=1&h=3&v=29d882fad76634e6d9feda1b35808e0b,d89dcc904bbeca40abe407a29b2944119a9bea7abd69c831ca34f1103de379c3

DropItLikeltsHot,Tandoran,2019/07/29, 15:02:13,https://www.pathofexile.com/account/view-profile/Tandoran/characters
,Torment Spire,Demon's Horn,Weapon,https://web.poecdn.com/image/Art/2DItems/Weapons/OneHandWeapons/Wands/Wand2.png?scale=1&w=1&h=3&v=dd4e9f9ef8b06e3f3e3fa3ba400f8ae8,4bf97f51443ec2ffc8c2890bc611a69d9de398780fa41a3628945ba8b765ae53
,Victory Dome,Solaris Circlet,Helm,https://web.poecdn.com/image/Art/2DItems/Armours/Helmets/HelmetInt9.png?scale=1&w=2&h=2&v=3aeebe40b6db3abe7e4d92e3402db35e,55b874e66658694672923218d55564dc4595daf3efd943c29b1a3244dcad4326
,Honour Paw,Fingerless Silk Gloves,Gloves,https://web.poecdn.com/image/Art/2DItems/Armours/Gloves/FingerlessSilkGloves.png?scale=1&w=2&h=2&v=8ef9d6c01a770301713fd41e41b1a3be,0e554fda1ef37faa0cabe08c65f4a476a978720a460c11aedd57e4122bf0c0c5
,,Haku's Driftwood Wand,Offhand2,https://web.poecdn.com/image/Art/2DItems/Weapons/OneHandWeapons/Wands/Wand1.png?scale=1&w=1&h=3&v=29d882fad76634e6d9feda1b35808e0b,dfed42430c1d109d9e80cbd9b53d31bdc0f5c15e6f23d74181776612f52af53e
,,Haku's Driftwood Wand,Weapon2,https://web.poecdn.com/image/Art/2DItems/Weapons/OneHandWeapons/Wands/Wand1.png?scale=1&w=1&h=3&v=29d882fad76634e6d9feda1b35808e0b,6b14255a3dead4a3ab303f6304aa20c4262dfea2803d88c34041f53c38ddacb5
,Fate Wish,Titanium Spirit Shield,Offhand,https://web.poecdn.com/image/Art/2DItems/Armours/Shields/ShieldInt6.png?scale=1&w=2&h=2&v=c2c4daefcbef51dad8593cf61505a193,ae8bc88aa316136ee6a7bb1f12fb469fee550b6548593601d5ca9d6baff1a79d
,Beast Spark,Sorcerer Boots,Boots,https://web.poecdn.com/image/Art/2DItems/Armours/Boots/BootsInt4.png?scale=1&w=2&h=2&v=4808dffa0aa9745b57119af9319d0be3,a0ec000c46f2fcde04e96f016a7166bbafda2a0630e32549b0a0b07994b88b0f
,Blight Band,Two-Stone Ring,Ring2,https://web.poecdn.com/image/Art/2DItems/Rings/TopazSapphire.png?scale=1&w=1&h=1&v=b7334698bf04b28f755467f256a3276b,c9fd26dabb2da9c08fe27fd2f459742b8aaf6e82895d87ae6ef1c65dc512277d
,Victory Lock,Crystal Belt,Belt,https://web.poecdn.com/image/Art/2DItems/Belts/CrystalBelt.png?scale=1&w=2&h=1&v=63156732e8bfa8dc4f84a814124d19d5,cc87a4ad9f549f60d8988bc2e22a2bd1dfd2acc37e0a273a64951c7bce081877

Scaff_LeftDownRightUp,Scaff,2019/07/29, 15:02:13,https://www.pathofexile.com/account/view-profile/Scaff/characters
,,Flaying Knife,Offhand2,https://web.poecdn.com/image/Art/2DItems/Weapons/OneHandWeapons/Daggers/Dagger2.png?scale=1&w=1&h=3&v=0b5adb61edbf8b3f80a27b5a4064d241,a9b77348c270c0930f0458401341c92c38461d6661c9767ff9621a394d45c9d0
,,Tenderizer,Weapon2,https://web.poecdn.com/image/Art/2DItems/Weapons/OneHandWeapons/OneHandMaces/OneHandMace3.png?scale=1&w=1&h=3&v=0da211513b53dc8acc1a040ee18b6347,b584747673e32efc3d21b14f5b82b38f025bbeda84fbc2315419d615c5456f09
,Bramble Trail,Vaal Greaves,Boots,https://web.poecdn.com/image/Art/2DItems/Armours/Boots/BootsStr3.png?scale=1&w=2&h=2&v=98f1f6d1137161abc1ef30ee82dadc62,9105dbbd6de31a10e94ab022e169d3b2ab5b3a3b4b77c101b82561701cd302de
,Glyph Band,Iron Ring,Ring,https://web.poecdn.com/image/Art/2DItems/Rings/Ring1.png?scale=1&w=1&h=1&v=7c04d5a65caa0371eccfe06a129a7407,ddf6b0cad16de0ac7125348e723e4abc13955a166c809db2298245e854c5e1eb
,Hypnotic Knuckle,Topaz Ring,Ring2,https://web.poecdn.com/image/Art/2DItems/Rings/Ring5.png?scale=1&w=1&h=1&v=d645f9adfc012c52674c94d16b4292b2,02c6a44ca8b9860e72b11e2d4a539596665d2178e626bf6521f598866efdc24f

WielkiHu,funkybeast,2019/07/29, 15:02:13,https://www.pathofexile.com/account/view-profile/funkybeast/characters
,Havoc Hand,Shagreen Gloves,Gloves,https://web.poecdn.com/image/Art/2DItems/Armours/Gloves/GlovesDex4.png?scale=1&w=2&h=2&v=daacc0418feaedbe51b9b47ef8caebab,adb22559f479f2ea1b7ec0a4d5e71b709b91c71140af945c9113b732db0a317f
,Glyph Scarab,Turquoise Amulet,Amulet,https://web.poecdn.com/image/Art/2DItems/Amulets/TurquoiseAmulet.png?scale=1&w=1&h=1&v=484a8eac4316c65308deea4efcfbb621,c18a48e477cd555057b8044b6d40fc9e2e64e2fc87564767d7f98b8b1d16b505
,Pandemonium Nail,Coral Ring,Ring,https://web.poecdn.com/image/Art/2DItems/Rings/Ring2.png?scale=1&w=1&h=1&v=ea80f60b4a8ead920044707ed6569849,df6233bee8a63c1a1c26460fb2825367ab68dd5f268e5f87b33650146e26205a
,Agony Saw,Headman's Sword,Weapon,https://web.poecdn.com/image/Art/2DItems/Weapons/TwoHandWeapons/TwoHandSwords/TwoHandSword2.png?scale=1&w=2&h=4&v=c6eb2632cbcdf26da86bc4c2db397e7d,14a1a79ce36f91bb69b36a0719d721c7c24c2ae0d9e20f47bd6ded1458904079
,Doom Pace,Wyrmscale Boots,Boots,https://web.poecdn.com/image/Art/2DItems/Armours/Boots/BootsStrDex3.png?scale=1&w=2&h=2&v=601dc135a14c1121dca118c2640a1335,9735eabfbf321088bcc3364aead97366bb3fa2734574f2170c06ee13f58ecc9b
,Bramble Star,Royal Burgonet,Helm,https://web.poecdn.com/image/Art/2DItems/Armours/Helmets/HelmetStr10.png?scale=1&w=2&h=2&v=a2d27dd09800df57154773b7cb11a9f1,3a001e18ed57fd713553f1a3e3c09cf06f8ba03d02e196bf503487697a6c3c1b

No_BBaKa,babarosoersej,2019/07/29, 15:02:13,https://www.pathofexile.com/account/view-profile/babarosoersej/characters
,Storm Loop,Amethyst Ring,Ring,https://web.poecdn.com/image/Art/2DItems/Rings/AmethystRing.png?scale=1&w=1&h=1&v=e6f04837a3bb2bab63f8f06522bff392,645868d62eeac684ee1ca2d27c156816d13c2bd631e44ddeef5ff80935fe6557
,Plague Eye,Amethyst Ring,Ring2,https://web.poecdn.com/image/Art/2DItems/Rings/AmethystRing.png?scale=1&w=1&h=1&v=e6f04837a3bb2bab63f8f06522bff392,f7db8b7eb216b50180bf1af486fcd793be3b46f9cb1deb5537e29a2515a7c4bc
,Rune Charm,Turquoise Amulet,Amulet,https://web.poecdn.com/image/Art/2DItems/Amulets/TurquoiseAmulet.png?scale=1&w=1&h=1&v=484a8eac4316c65308deea4efcfbb621,0a20da1dc5fb61ec20160993607f61a6ecc92b1b671e0bf357b508a3dcfafdff
,,Slaughter Knife,Weapon2,https://web.poecdn.com/image/Art/2DItems/Weapons/OneHandWeapons/Daggers/Dagger3.png?scale=1&w=1&h=3&v=7a6e05042e237a2936a5f18421cb77bd,4bef6a91637bca190bc1f3f0d0fa73293aefbf7697af0f5d21fccf8a592d5102
,,Tenderizer,Offhand2,https://web.poecdn.com/image/Art/2DItems/Weapons/OneHandWeapons/OneHandMaces/OneHandMace3.png?scale=1&w=1&h=3&v=0da211513b53dc8acc1a040ee18b6347,38729789c3ff762473d4f8c111cee46bddb3f123cbf2f96d3eb322c1fe10584f

CloudRoper,funkybeast,2019/07/29, 15:02:13,https://www.pathofexile.com/account/view-profile/funkybeast/characters
,Dire Pendant,Deadhand Talisman,Amulet,https://web.poecdn.com/image/Art/2DItems/Amulets/TalismanWhite4.png?scale=1&w=1&h=1&v=cb4c67f9c73adb81fd5729e9176bac0c,8562db55567534d73406910aa9d9b95325968e672c3a3bb1286b118e732fa76f
,Death Gnarl,Imbued Wand,Weapon2,https://web.poecdn.com/image/Art/2DItems/Weapons/OneHandWeapons/Wands/Wand3.png?scale=1&w=1&h=3&v=ac9f7eee09f5a8f580151298712f2a9e,ef3ae6b1ee64cc7aee1e4c87e6f735f1a0c30591150c447614bdb663d1de0935
,Foe Trap,Stygian Vise,Belt,https://web.poecdn.com/image/Art/2DItems/Belts/AbyssBelt.png?scale=1&w=2&h=1&v=cd7c25de181e6a77812020eb6e867971,fb4dd09bbcc3a9ee0b6e28013fd559f2755b85e484c1b1151ee52864b4a2ea63
